tweet,class,sentiment
wore barack obama look jason journal,0,neutral
obama debates ass tonight,1,positive
point afraid understand bigger picture dont care obama elected,0,neutral
raised democrat left party years ago never seen president country like obama,-1,negative
obama camp afford lower expectations tonight debate president must give strong performance,0,neutral
obama policy say least via,-1,negative
hollywood back gene simmons obama support calls piss poor president,-1,negative
obama speak fair order,0,neutral
dream obama,0,neutral
washington times president barack obama fox nation,-1,negative
obama security embassy libya,-1,negative
united states obama really think,-1,negative
created debt obama money two wars owned,-1,negative
obama kept one promises town hall debates believe tonight,-1,negative
talking shit obama,0,neutral
obama,0,neutral
ideas hurt obama america pres whole hand dumbass,0,neutral
still idol president obama,1,positive
pretty wonder obama always pocket,0,neutral
saw sticker obama sticker new,0,neutral
debate tonight hope obama brings lot energy tonight debate crucial,0,neutral
said much good things obama small business picked,1,positive
hillary taken obama obama blind people back better,-1,negative
south african say obama best thing happen america,1,positive
smart women know obama said policies would cause energy prices meant,-1,negative
tonight obama focused voters wonder know first debate,0,neutral
obama may need ground game following compared,0,neutral
remember obama first got elected niggas acted like second coming jesus,0,neutral
obama working next,0,neutral
pretty much obama loses tonight expect meltdown,0,neutral
obama wins move new york,0,neutral
want hear obama say nigga please,0,neutral
barack obama gives control systems america,-1,negative
last kid voted johnson would obama make sense god could,0,neutral
obama google omg thats wrong,0,neutral
okay obama time put game face get shit done,1,positive
actually feel sorry obama never mind passed like gas,-1,negative
agree cant afford years obama,-1,negative
feel next pres use time next term fuck obama world step,0,neutral
anyone seen obama hiding behind hillary hillary never see,-1,negative
democrats call obama puppet ahead democrat,-1,negative
new syrian rebels numbers win obama either,-1,negative
gov johnson votes vote obama must,-1,negative
bob obama created mil jobs mil people without jobs kidding bob,0,neutral
obama efforts claim responsible anything letter election campaign,-1,negative
reporter aware michelle voted yesterday obama thank goodness,0,neutral
obama debate around security crazy,0,neutral
obama reminds kids one ego,-1,negative
obama short debate prep session morning david told feeling fabulous,0,neutral
looks like obama may need two good debates victory,0,neutral
romney whats crazy idea evil towards women fucking stand right,0,neutral
liberals obama debate tough running nothing happens,0,neutral
vote obama,1,positive
obama make eye,0,neutral
obama win lack money evil,0,neutral
obama someone else help brother kenya many others job,-1,negative
join supporting support president obama agenda via,1,positive
president obama need understand win second term white house nice republicans anymore,0,neutral
set become biggest foreign think forgot obama giving,-1,negative
barack obama america,-1,negative
would vote obama,1,positive
doubt barack another black president long time,0,neutral
hate fact people feel every black person support obama simply black,0,neutral
obama shit,-1,negative
obama young look name real,0,neutral
obama world israelis think obama favors israel,-1,negative
amp obama amp clinton,-1,negative
future hands let white mother win vote obama,1,positive
koch brothers threaten fire employees obama wins via com,0,neutral
obama needs great performance could flip back lose tonight race,0,neutral
report war one women thought obama ended war terror hood shooting violence,-1,negative
last campaign obama yes change,0,neutral
amazing list obama economic failures one type dropped zero home price,-1,negative
obama channel joe debate fall even polls,0,neutral
another obama bus,-1,negative
rice comments video obama campaign,0,neutral
faith pres obama let always back matter,1,positive
genius obama changes watch great,0,neutral
obama amp biden keep saying world get come,-1,negative
lying right obama claim got back every dime bailout money day cbo billion loss,-1,negative
every obama sticker car hate sticker,-1,negative
matter way obama tonight amp americans living talk way,-1,negative
debate going help obama way,0,neutral
,0,neutral
obama may socialist sure heading country direction want,-1,negative
obama tonight see less king,0,neutral
obama fuel future transportation,0,neutral
thanks obama today,1,positive
believe real ross supporting charts ross perot endorses mitt romney president,0,neutral
obama promises remind high school kid running class president put,-1,negative
showed picture obama class lots knew name none knew could name one direction know,0,neutral
man strong personal america,0,neutral
barack obama,0,neutral
cnn house long time ago proves cnn host goes obama,0,neutral
romney obama obama,1,positive
green energy loans went obama donors least green energy companies went,-1,negative
obama win white people furious asking kids get,-1,negative
way obama dem win fraud voter fraud way america destruction chuck,-1,negative
obama,0,neutral
obama vote cause hes black,1,positive
obama,0,neutral
days election day ready cheer president obama tonight debate,1,positive
armed forces show overwhelming support obama opensecrets blog opensecrets,1,positive
president obama policies last years blocked congress could helped,-1,negative
obama try town hall debate format advantage,0,neutral
big bird save obama looking like total embarrassment benghazi cover,-1,negative
something knew obama really like people throw people bus easily,-1,negative
top reasons via clearly states agenda obama,0,neutral
love polls news obama lead saying important,0,neutral
senate thompson son says send obama back kenya yahoo news via,-1,negative
everyone able vote obama romney vote romney would never speak,1,positive
obama okay going air take responsibility bottom line agreed,-1,negative
actions world terrorist obama taking side terrorism abbas,-1,negative
ever kids tell barack obama terrible president,-1,negative
obama away thru good look day,0,neutral
obama lose debate tonight lies cover ups leadership,-1,negative
today barack obama debate born alive act abortion,-1,negative
news obama winning wrong elections right since nixon,0,neutral
hope ppl smarter voting obama cuz hes black voting black guy,0,neutral
may feel like obama bag especially never get every last damn vote,0,neutral
obama puppet top obama videos,-1,negative
lilykins wrong reagan jfk reagan inherited worse economy obama,0,neutral
reporter aware michelle voted yesterday obama turning back thank goodness,0,neutral
obama delivered pizza volunteer campaign workers weekend obviously preparing life private sector,-1,negative
voted president obama last time around job piss poor president thanks,-1,negative
obama ego debate last time forgot hat held back,0,neutral
hey obama suck ass,-1,negative
smart women know obama said policies would cause energy prices meant,-1,negative
getting excited obama visit tomorrow read,0,neutral
would like answer anything obama says tomorrow libya trillion,-1,negative
obama find take blame video excuse benghazi attack obama lies,-1,negative
gets election obama wants prove fight,0,neutral
former aide obama stunning politics really like people via,-1,negative
trying take obama since trying get reelected,-1,negative
obama promises cut deficit spend bunch money education green energy create jobs heard,-1,negative
good luck obama drink bit last week,1,positive
bush americans killed american obama americans killed libya next question,0,neutral
taxes ridiculous like tell obama told,0,neutral
terrorist obama,0,neutral
obama fine,1,positive
people love say voting obama cause black well voting black lol,0,neutral
gop obama build comment means believes government false,0,neutral
celebrities help obama make closing argument,0,neutral
love people passionate politics obama fuck country like dude let eat peace,0,neutral
true obama lying mitt even liberal media called reality obama raising taxes,-1,negative
obama,0,neutral
yes think come obama really start look obama made deal hillary like,0,neutral
haha one cool ass dude swear talking shit mom obama supporters lmao,0,neutral
fuck fuck fuck obama,-1,negative
dear president obama stop house way back hofstra got,0,neutral
feel fabulous look beautiful day president obama asked feeling tonight per pool,0,neutral
absolutely right nightmare obama elected,-1,negative
prediction matter happens tonight debate obama winner already,0,neutral
politicians fail obama get info,0,neutral
obama likely blow second debate,-1,negative
bad obama economy growth worse,-1,negative
hope obama shows time left make excuses like race reason failed,-1,negative
obama complete,-1,negative
president needs channel little biden tonight debate needs obama,0,neutral
obama aggressive connecting tonight people watching see engaged,0,neutral
obama former aide obama stunning politics really like people,-1,negative
join supporting support president obama senate democrats via,1,positive
red head mean get obama card,0,neutral
certainly hope government comes tonight anyone believe obama admin,-1,negative
obama got problems via,0,neutral
ross perot afford obama,-1,negative
youtube obama romney,0,neutral
obama loves america like loved,-1,negative
america want obama look,0,neutral
sad shot school girl head supporting obama,0,neutral
obama fraud lying coverup,-1,negative
obama issues baby head killing,-1,negative
yes obama plan full details soon see plan,-1,negative
already know one black people get take take look sports thing office obama years,1,positive
president obama jobs create jobs republicans blocked jobs plan,1,positive
obama endorses failed one way streets,-1,negative
obama already hood voice,0,neutral
obama great math country jobs debt amp,-1,negative
hillary sword obama,0,neutral
hillary falls sword buck stops obama right vegas fund day people died,-1,negative
find pretty cool obama little ohio ohio university one heard probably,0,neutral
said link exactly think obama obama care people,-1,negative
gasoline prices obama says,-1,negative
obama plans show wide open,0,neutral
paid obama victory fund send message,0,neutral
vote obama,0,neutral
confident obama continue,1,positive
obama able back,-1,negative
needs new believe,-1,negative
early say obama well today going riot,0,neutral
obama aide stunning politics really like people,-1,negative
many obama supporters brown actually people paid campaign,-1,negative
seriously kind order fix obama broken,-1,negative
obama going lose tonight debate,-1,negative
obama,0,neutral
obama admitted lying,-1,negative
president barack obama weighs mariah carey nicki minaj feud president barack obama better things sure,0,neutral
obama voting mitt romney thanks,-1,negative
heard honey boo boo supports obama,0,neutral
obama elected president amp white guy next,0,neutral
give win matter make focus tax returns,-1,negative
obama investment money green jobs continues,-1,negative
obama better suck debate tonight also feel like,0,neutral
tired listening democrats office talk great obama open eyes drive,-1,negative
obama might lose,-1,negative
obama picks another loser green investment,-1,negative
obama policy response,-1,negative
get watch tonight presidential debate volunteer obama campaign,0,neutral
wonder much would like obama black since always say,-1,negative
asked voting response obama need financial aid food stamps lmfao,0,neutral
obama weed right end last term lol,0,neutral
benghazi comes tell obama wait obama goes find hillary take question,-1,negative
think obama support jay make,0,neutral
obama would truly real life,-1,negative
hillary campaign game honestly took responsibility would done day one drop obama,-1,negative
care obama black care shitty president,-1,negative
obama brings ask whether got screwed bailout yet,-1,negative
feel fabulous obama says per pool look beautiful day asked hillary blame benghazi kept walking,-1,negative
hope obama bring game nite,1,positive
president obama lied rev wright,-1,negative
obama leadership,-1,negative
hillary obama engenders sort fealty like inept civil servant,-1,negative
obama higher jay,0,neutral
obama back plan dying shit funny,-1,negative
latino feeling president obama tonight hope sensata mitt accounts taxes come,1,positive
obama show way,0,neutral
obama lose packing shit moving bikini bottom fuck bullshit,0,neutral
voting obama,0,neutral
obama joke,-1,negative
proud team team obama much success,1,positive
things would getting voting barack obama,1,positive
obama deserves american,1,positive
glad obama taking sides crisis potus weighs nicki mariah beef,0,neutral
voting obama asked said guy clueless liar amp responsible leader needs,-1,negative
benghazi obama hiding fact making decisions obama,-1,negative
obama point right direction make change,1,positive
obama picks another loser green investment,-1,negative
obama white man problem,0,neutral
obama important farrakhan endorsement,-1,negative
real message democrats republican war women obama thinks women dumb,-1,negative
