Model,Vectorization,Accuracy,Precision,Recall,F1 Score
Logistic Regression,TF-IDF,0.5779,0.5617,0.5779,0.5605
Logistic Regression,Word2Vec,0.5283,0.511,0.5283,0.4356
Naive Bayes,TF-IDF,0.5504,0.5952,0.5504,0.4491
Naive Bayes,Word2Vec,0.5106,0.3154,0.5106,0.3515
SVM,TF-IDF,0.5796,0.5612,0.5796,0.5551
SVM,Word2Vec,0.5124,0.2625,0.5124,0.3472
KNN,TF-IDF,0.523,0.4843,0.523,0.4703
KNN,Word2Vec,0.5106,0.4695,0.5106,0.4069
Voting,TF-IDF,0.5726,0.5553,0.5726,0.5293
Semi- Supervised Voting,TF-IDF,0.6488,0.6465,0.6488,0.6309
